name,2023_W06,2023_W07,group
InterContinental Hotels Group ,1.67,7.2,Adjusted Price wt. Sentiment Score
Micron,1.67,6.5,Adjusted Price wt. Sentiment Score
Target ,3.93,14.4,Adjusted Price wt. Sentiment Score
GLOBALFOUNDRIES ,1.73,5.8,Adjusted Price wt. Sentiment Score
Johnson & Johnson,10.0,3.13,Adjusted Price wt. Sentiment Score
ArcelorMittal,1.67,5.2,Adjusted Price wt. Sentiment Score
British American Tobacco ,1.67,5.2,Adjusted Price wt. Sentiment Score
Crown Castle,14.7,4.73,Adjusted Price wt. Sentiment Score
Sempra,4.83,14.8,Adjusted Price wt. Sentiment Score
Pfizer ,5.1,1.67,Adjusted Price wt. Sentiment Score
Sea ,5.1,1.67,Adjusted Price wt. Sentiment Score
eBay ,5.7,1.87,Adjusted Price wt. Sentiment Score
Abbott Laboratories,14.3,4.73,Adjusted Price wt. Sentiment Score
Boeing ,4.87,14.7,Adjusted Price wt. Sentiment Score
American Electric Power Company,3.33,10.0,Adjusted Price wt. Sentiment Score
Brown-Forman ,3.33,10.0,Adjusted Price wt. Sentiment Score
HubSpot,3.33,10.0,Adjusted Price wt. Sentiment Score
Lattice Semiconductor ,10.0,3.33,Adjusted Price wt. Sentiment Score
Martin Marietta Materials,3.33,10.0,Adjusted Price wt. Sentiment Score
Nu,10.0,3.33,Adjusted Price wt. Sentiment Score
ON Semiconductor ,3.33,10.0,Adjusted Price wt. Sentiment Score
PerkinElmer,3.33,10.0,Adjusted Price wt. Sentiment Score
Pinduoduo ,10.0,3.33,Adjusted Price wt. Sentiment Score
Public Service Enterprise Group ,10.0,3.33,Adjusted Price wt. Sentiment Score
Quanta Services,3.33,10.0,Adjusted Price wt. Sentiment Score
Sea ,5.1,1.67,Adjusted Price wt. Sentiment Score
Target ,3.93,14.4,Adjusted Price wt. Sentiment Score
TC Energy ,1.67,4.21,Adjusted Price wt. Sentiment Score
InterContinental Hotels Group ,1.67,7.2,Adjusted Price wt. Sentiment Score
Crown Castle,14.7,4.73,Adjusted Price wt. Sentiment Score
Sempra,4.83,14.8,Adjusted Price wt. Sentiment Score
ArcelorMittal,1.67,5.2,Adjusted Price wt. Sentiment Score
Abbott Laboratories,14.3,4.73,Adjusted Price wt. Sentiment Score
Pfizer ,5.1,1.67,Adjusted Price wt. Sentiment Score
Boeing ,4.87,14.7,Adjusted Price wt. Sentiment Score
Bank of Montreal,15.0,4.97,Adjusted Price wt. Sentiment Score
American Electric Power Company,3.33,10.0,Adjusted Price wt. Sentiment Score
Brown-Forman ,3.33,10.0,Adjusted Price wt. Sentiment Score
HubSpot,3.33,10.0,Adjusted Price wt. Sentiment Score
Lattice Semiconductor ,10.0,3.33,Adjusted Price wt. Sentiment Score
Martin Marietta Materials,3.33,10.0,Adjusted Price wt. Sentiment Score
Nu,10.0,3.33,Adjusted Price wt. Sentiment Score
PerkinElmer,3.33,10.0,Adjusted Price wt. Sentiment Score
Pinduoduo ,10.0,3.33,Adjusted Price wt. Sentiment Score
Public Service Enterprise Group ,10.0,3.33,Adjusted Price wt. Sentiment Score
Quanta Services,3.33,10.0,Adjusted Price wt. Sentiment Score
Westinghouse Air Brake,3.33,10.0,Adjusted Price wt. Sentiment Score
Zoetis ,3.33,10.0,Adjusted Price wt. Sentiment Score
Johnson & Johnson,10.0,3.13,Adjusted Price wt. Sentiment Score
Horizon Therapeutics Public Limited ,5.0,1.67,Adjusted Price wt. Sentiment Score
NatWest Group ,1.67,4.6,Adjusted Price wt. Sentiment Score
Booking,14.5,5.0,Adjusted Price wt. Sentiment Score
Horizon Therapeutics Public Limited ,5.0,1.67,Adjusted Price wt. Sentiment Score
Marriott,4.9,15.0,Adjusted Price wt. Sentiment Score
Target ,3.93,14.4,Adjusted Price wt. Sentiment Score
Freeport-McMoRan ,4.79,1.67,Adjusted Price wt. Sentiment Score
ZTO Express (Cayman) ,5.0,14.0,Adjusted Price wt. Sentiment Score
ConocoPhillips,11.09,4.47,Adjusted Price wt. Sentiment Score
Boeing ,4.87,14.7,Adjusted Price wt. Sentiment Score
T-Mobile US,13.06,4.9,Adjusted Price wt. Sentiment Score
Pfizer ,5.1,1.67,Adjusted Price wt. Sentiment Score
Petrobras,4.79,1.73,Adjusted Price wt. Sentiment Score
Accenture ,14.3,5.0,Adjusted Price wt. Sentiment Score
Shake Shack ,11.92,14.2,Adjusted Price wt. Sentiment Score
Cisco Systems,1.73,3.57,Adjusted Price wt. Sentiment Score
Lam Research ,14.6,8.3,Adjusted Price wt. Sentiment Score
Cenovus Energy ,4.9,15.0,Adjusted Price wt. Sentiment Score
Icahn Enterprises ,5.0,1.67,Adjusted Price wt. Sentiment Score
American International Group,4.67,1.7,Adjusted Price wt. Sentiment Score
Micron,1.67,6.5,Adjusted Price wt. Sentiment Score
Crown Castle,14.7,4.73,Adjusted Price wt. Sentiment Score
Lockheed Martin ,14.8,5.0,Adjusted Price wt. Sentiment Score
Verizon Communications ,9.67,4.8,Adjusted Price wt. Sentiment Score
Bank of Montreal,15.0,4.97,Adjusted Price wt. Sentiment Score
American Electric Power Company,3.33,10.0,Adjusted Price wt. Sentiment Score
ZTO Express (Cayman) ,5.0,14.0,Adjusted Price wt. Sentiment Score
Horizon Therapeutics Public Limited ,5.0,1.67,Adjusted Price wt. Sentiment Score
ConocoPhillips,11.09,4.47,Adjusted Price wt. Sentiment Score
Target ,3.93,14.4,Adjusted Price wt. Sentiment Score
Freeport-McMoRan ,4.79,1.67,Adjusted Price wt. Sentiment Score
T-Mobile US,13.06,4.9,Adjusted Price wt. Sentiment Score
American International Group,4.67,1.7,Adjusted Price wt. Sentiment Score
Petrobras,4.79,1.73,Adjusted Price wt. Sentiment Score
Accenture ,14.3,5.0,Adjusted Price wt. Sentiment Score
Pfizer ,5.1,1.67,Adjusted Price wt. Sentiment Score
Cisco Systems,1.73,3.57,Adjusted Price wt. Sentiment Score
Boeing ,4.87,14.7,Adjusted Price wt. Sentiment Score
